#Tot,StNr,Naam,MV,#MV,Cat,#Cat,Zwem,Wis1,Fiets,NaFiets,Wis2,Loop,Totaal
166,104,Mathijs Ippel,M,133,Jun,12,10:09,2:09,38:23:00,50:39:00,1:44,29:35:00,1:21:57
167,44,Connie van der Lee,V,34,V61,2,12:01,2:37,37:03:00,51:40:00,2:34,27:46:00,1:21:59
168,212,Dick Commandeur,M,134,M61,4,14:11,2:41,34:43:00,51:34:00,3:02,27:32:00,1:22:07
169,296,Thijs Meskers,M,135,M20,57,10:57,2:20,37:38:00,50:55:00,3:37,28:00:00,1:22:31
170,19,Sandra van Damme,V,35,V20,18,12:49,1:48,36:26:00,51:02:00,2:47,28:55:00,1:22:43
171,265,Frank de Jong,M,136,M20,58,12:36,2:04,39:07:00,53:46:00,2:42,26:18:00,1:22:44
172,275,Jan Klous,M,137,M51,25,13:04,3:23,36:13:00,52:39:00,3:47,26:23:00,1:22:49
173,255,Marco Heddes,M,138,M61,5,12:21,2:01,36:34:00,50:56:00,2:56,29:03:00,1:22:54
174,329,Ed Spaansen,M,139,M51,26,22:59,,,,,25:04:00,1:23:13
175,261,Sander van Houten,M,140,M51,27,11:52,3:00,40:30:00,55:21:00,2:55,25:14:00,1:23:28
176,289,Jesper Lind,M,141,M20,59,14:20,2:02,39:02:00,55:23:00,2:33,26:01:00,1:23:56
177,292,Martijn Louwes,M,142,M20,60,14:05,3:08,40:29:00,57:42:00,2:40,23:39,1:24:00
178,330,Tim Stad,M,143,M41,41,14:09,2:47,40:49:00,57:43:00,2:20,24:23:00,1:24:25
179,239,Leen van Dipten,M,144,M61,6,13:43,2:13,39:45:00,55:40:00,2:38,26:14:00,1:24:31
180,27,Ella Heddes,V,36,V51,4,14:33,2:13,40:23:00,57:07:00,2:55,24:47:00,1:24:49
181,49,Nadieh Oudeman,V,37,V20,19,14:39,2:10,39:58:00,56:47:00,2:16,26:16:00,1:25:17
182,60,Daphne Schipper,V,38,V20,20,16:36,1:27,39:48:00,57:50:00,1:40,25:50:00,1:25:19
183,24,Pascha Groot,V,39,V20,21,13:57,2:18,42:00:00,58:14:00,1:57,25:09:00,1:25:19
184,113,Jari Ploeger,M,145,Jun,13,17:13,1:52,40:43:00,59:46:00,1:22,24:24:00,1:25:31
185,8,Amber Bakker,V,40,V20,22,14:45,2:12,42:22:00,59:19:00,2:31,23:57,1:25:45
186,354,Gert-Jan Weel,M,146,M20,61,14:13,2:01,39:29:00,55:42:00,2:25,27:52:00,1:25:59
187,37,Stephanie Korver,V,41,V20,23,12:53,2:05,39:03:00,54:00:00,2:59,29:11:00,1:26:08
